tipo,ordem,fc,fase_zero,rp,rs,rmse
cheby2,7,1800,True,0.5,50.0,0.34995660865564476
cheby2,5,2200,True,0.5,50.0,0.35009769047563033
ellip,7,1100,True,0.1,40.0,0.3502439896810195
cheby1,5,1200,True,0.1,40.0,0.35042224149122303
ellip,7,1000,True,0.1,40.0,0.3506716835005956
ellip,7,1100,True,0.1,50.0,0.35073500437201593
butter,6,1400,True,0.5,40.0,0.35074718467864574
ellip,7,1200,True,0.1,50.0,0.3508582235309547
ellip,7,1100,True,0.1,60.0,0.3508752007346375
cheby2,8,1700,True,0.5,50.0,0.35091988821055575
cheby1,7,1100,True,0.1,40.0,0.3512620383549009
ellip,7,1200,True,0.1,60.0,0.3515694675511688
ellip,7,1000,True,0.1,50.0,0.3515744382959484
cheby2,6,1800,True,0.5,40.0,0.3516460418101666
ellip,3,1100,True,0.1,40.0,0.3516715144065611
butter,8,800,True,0.5,40.0,0.3517209836886888
cheby2,3,1600,True,0.5,30.0,0.351817519307757
butter,7,1400,True,0.5,40.0,0.35185777764956044
cheby2,8,1600,True,0.5,40.0,0.3519335329330461
cheby2,8,1500,True,0.5,30.0,0.35196934906934707
ellip,7,1000,True,0.1,60.0,0.3520388915481273
cheby2,4,1500,True,0.5,40.0,0.35226428244334346
cheby1,7,1000,True,0.1,40.0,0.35227240770464785
ellip,3,1100,True,0.1,50.0,0.35264387167870176
butter,8,1400,True,0.5,40.0,0.3526772721159946
ellip,7,1300,True,0.1,30.0,0.35274369344063555
ellip,5,1300,True,0.1,30.0,0.35275370302426357
cheby2,3,3300,True,0.5,60.0,0.3529234705457011
ellip,3,1100,True,0.1,60.0,0.3531111806648353
butter,3,1500,True,0.5,40.0,0.3531244279805277
ellip,7,1300,True,0.1,40.0,0.35314366813715986
cheby2,7,1700,True,0.5,40.0,0.35319418964115173
cheby2,7,2000,True,0.5,60.0,0.3532638072930167
cheby2,6,2000,True,0.5,50.0,0.35327966325930776
cheby2,5,2000,True,0.5,40.0,0.35334677186924246
butter,7,800,True,0.5,40.0,0.35337634498493026
cheby2,4,2000,True,0.5,30.0,0.3534931948182773
cheby1,7,1200,True,0.1,40.0,0.353516412645065
cheby1,3,1100,True,0.1,40.0,0.35352411604445444
cheby2,6,2200,True,0.5,60.0,0.35380637836353257
ellip,7,1300,True,0.1,50.0,0.3539320697565914
ellip,5,1300,True,0.1,40.0,0.35398460573757884
cheby2,4,2300,True,0.5,40.0,0.3543088496642533
cheby2,5,1800,True,0.5,30.0,0.35470281851672836
ellip,7,1300,True,0.1,60.0,0.3547484776646535
cheby2,3,2400,True,0.5,30.0,0.35476521014933765
cheby2,7,1600,True,0.5,30.0,0.35502616389597846
cheby1,3,600,True,0.1,40.0,0.35508207604037384
ellip,5,1300,True,0.1,50.0,0.355278038776485
cheby2,4,2600,True,0.5,50.0,0.35546632868919575
cheby2,2,3000,True,0.5,40.0,0.3555514703116854
butter,2,1600,True,0.5,40.0,0.3562364955165893
butter,6,800,True,0.5,40.0,0.35624769413178636
ellip,7,1400,True,0.1,30.0,0.3562951715564912
ellip,5,1300,True,0.1,60.0,0.3563332710245948
ellip,3,600,True,0.1,60.0,0.3563486464321021
cheby2,4,1800,True,0.5,50.0,0.3564360715413539
cheby2,8,1900,True,0.5,60.0,0.3566899969045086
cheby2,5,2500,True,0.5,60.0,0.3567555628145482
cheby2,6,1700,True,0.5,30.0,0.35712989085707575
butter,4,1500,True,0.5,40.0,0.3573950161174742
ellip,7,1400,True,0.1,40.0,0.3576101856316776
ellip,3,600,True,0.1,50.0,0.3578584426471349
cheby1,7,1300,True,0.1,40.0,0.35787494477587095
cheby2,6,1400,True,0.5,60.0,0.35821660135076155
cheby1,5,1300,True,0.1,40.0,0.35858707850104105
cheby2,7,1900,True,0.5,50.0,0.35877325941752153
cheby2,3,2800,True,0.5,40.0,0.3588461428630843
cheby2,3,3100,True,0.5,50.0,0.359010382845451
ellip,7,1400,True,0.1,50.0,0.35928402255930897
cheby2,8,1800,True,0.5,50.0,0.35945169789435977
butter,5,1500,True,0.5,40.0,0.3600151646815468
cheby1,1,600,True,0.5,40.0,0.3601969500576557
ellip,1,600,True,0.5,60.0,0.36019695005765634
ellip,1,600,True,0.5,40.0,0.36019695005765634
ellip,1,600,True,0.5,50.0,0.36019695005765634
ellip,1,600,True,0.5,30.0,0.36019695005765634
cheby2,8,1600,True,0.5,30.0,0.36026410635122724
cheby2,7,1000,True,0.5,40.0,0.360361039409101
butter,1,1500,True,0.5,40.0,0.3603947675938341
cheby1,1,900,True,1.0,40.0,0.36044787877869205
ellip,1,900,True,1.0,40.0,0.36044787877869267
ellip,1,900,True,1.0,60.0,0.36044787877869267
ellip,1,900,True,1.0,30.0,0.36044787877869267
ellip,1,900,True,1.0,50.0,0.36044787877869267
cheby2,2,3100,True,0.5,30.0,0.36059252718967294
butter,1,1600,True,0.5,40.0,0.3606626486617353
cheby2,5,2300,True,0.5,50.0,0.36066389304704866
cheby2,8,1700,True,0.5,40.0,0.3608654191201586
ellip,7,1400,True,0.1,60.0,0.36089056978007555
cheby2,4,2900,True,0.5,60.0,0.3612402983521209
ellip,3,600,True,0.1,40.0,0.3612888872007336
butter,5,800,True,0.5,40.0,0.36131998529244835
ellip,3,1200,True,0.1,30.0,0.36175478565770364
butter,6,1500,True,0.5,40.0,0.3617682233193087
cheby2,6,1900,True,0.5,40.0,0.3617717542769882
cheby1,1,800,True,1.0,40.0,0.36191021891679254
ellip,1,800,True,1.0,50.0,0.36191021891679254
ellip,1,800,True,1.0,60.0,0.36191021891679254
ellip,1,800,True,1.0,30.0,0.36191021891679254
ellip,1,800,True,1.0,40.0,0.36191021891679254
butter,2,900,True,0.5,40.0,0.3619316135553833
ellip,1,300,True,0.1,40.0,0.3621553792087092
ellip,1,300,True,0.1,60.0,0.3621553792087092
ellip,1,300,True,0.1,30.0,0.3621553792087092
cheby1,1,300,True,0.1,40.0,0.3621553792087092
ellip,1,300,True,0.1,50.0,0.3621553792087092
cheby2,3,2000,True,0.5,40.0,0.3625040134042047
ellip,5,1400,True,0.1,30.0,0.3626394365637602
butter,7,1500,True,0.5,40.0,0.3630124862712338
butter,1,1700,True,0.5,40.0,0.36350315851084486
